名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
靠近市动物园，游乐场两居室可做饭,"
                干净，整洁，东西齐全
            ",100%,18 晚,小区住宅,2室1厅,整租,双人床,2张,4人,1,90平米,提供,沧州-新华区-解放东路-百合世嘉,沧州,新华区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '电梯', '餐具炊具']",沧州市动物园，游乐场，,,0,,188,,100.00%,100.00%,80.00%,2,2.5
紧邻明珠商贸城，西客站，居然之家，市政大厅,"
                交通便利，温馨大床房，
            ",100%,18 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,沧州-运河区-迎宾大道-泰大国际家居广场,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '电吹风', '智能门锁', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '微波炉', '灭火器']",,,0,,128,,100.00%,100.00%,100.00%,11,5
紧邻明珠商贸城，西客站，市政大厅,"
                家电家具齐全，交通便利
            ",100%,18 晚,普通公寓,1室1厅,整租,双人床,2张,4人,1,50平米,提供,沧州-运河区-迎宾大道-泰大国际家居广场,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '电吹风', '智能门锁', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '微波炉', '灭火器']",,,0,,128,,100.00%,100.00%,100.00%,11,5
紧邻明珠商贸城，西客站，市政大厅,"
                家居家电齐全，交通便利
            ",100%,18 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,沧州-运河区-迎宾大道-泰大国际家居广场,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '电吹风', '智能门锁', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '微波炉', '灭火器']",,,0,,128,,100.00%,100.00%,100.00%,11,5
近荣盛广场，近医院商超锦绣天地阳光大床房,"
                小区周边配套设施齐全，娱乐购物餐饮一应俱全，房屋装修风格清新，是您旅居休息的好去处
            ",100%,24 晚,小区住宅,2室2厅,整租,"双人床
双人床",2张,4人,1,80平米,提供,沧州-运河区-运河区黄河西路-锦绣天地B区,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电饭煲', '灭火器']",,,0,,220,,100.00%,100.00%,100.00%,7,4.286
紧邻明珠商贸城，西客站，市政大厅,"
                交通便利，干净整洁，住着就是舒服
            ",100%,24 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,50平米,提供,沧州-运河区-运河区迎宾大道-泰大国际家居广场,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '餐具炊具', '电吹风', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '电磁炉', '灭火器']",,,0,,128,,100.00%,100.00%,100.00%,11,5
近商超泰合星耀城两居大床房loft,"
                现代简约风格，周边配套设施齐全，入住便捷！闹中取静，24小时热水为您服务！预约免费接送服务！
            ",100%,16 晚,Loft公寓,2室1厅,整租,"双人床
单人床",2张,3人,1,55平米,提供,沧州-运河区-御河路-泰合星耀城,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '洗涤用品', '燃气灶']",,,0,,200,,100.00%,100.00%,100.00%,7,4.286
青县火车站  洋房  投影房  大两室  落地窗,"
                德悦家园小区紧挨着火车站，汽车站，信发商厦，同聚祥商厦，意明商厦，小吃街，儿童游乐场，有连锁餐饮肯德基，呷哺呷哺，虾吃虾涮等餐饮店，全程自主入住，下单后直接发入住地址，全程零接触。房间装修温暖风趣，落地窗的景色非常美，欢迎您的入住体验
            ",100%,18 晚,小区住宅,2室1厅,整租,双人床,2张,4人,1,90平米,提供,沧州-青县-京福北大街-德悦家园,沧州,青县,"['无线WIFI', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '泳池', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '洗涤用品', '燃气灶', '电饭煲', '投影设备', '灭火器']",周边繁华，购物游玩非常方便,,0,,188,,100.00%,100.00%,98.20%,2,5
小美民宿 *精装修 商业中心 同聚祥两室  精装修电梯楼,"
                此小区紧挨着同聚祥商厦，意明商厦以及小吃街。离火车站汽车站很近。步行五分钟即到。紧挨着的104国道通往天津北京的大巴车很多。楼下停车位充足，紧挨着商厦免费停车场，房间装修干净整洁，装饰温馨。房间物品齐全，暖气供应，免费提供厨房做饭厨具。房间内有无线网络，双卧室双台电视，阳台上可一览窗外的夜景很漂亮。距离500米处有KFC呷哺呷哺火锅。
            ",100%,20 晚,小区住宅,2室1厅,整租,双人床,2张,4人,1,80平米,提供,沧州-青县-新华东路6号,沧州,青县,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '泳池', '有窗户', '洗浴用品', '牙具', '香皂', '刀具菜板', '燃气灶', '电饭煲', '灭火器']",坐车方便，紧挨着104国道,,0,,178,,100.00%,100.00%,98.20%,2,5
阳台落地窗 古建清风楼 大运河 老华北商厦 彩虹桥 老盐百,"
                 1
            ",100%,24 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-新华中路12号-世贸国际的民宿(南湖盐百店),沧州,运河区,"['无线WIFI', '电视', '淋浴', '洗衣机', '电冰箱', '全天热水', '毛巾', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '被子', '落地窗', '沙发', '洗浴用品', '牙具', '刀具菜板', '洗涤用品', '燃气灶']",,,0,,178,,100.00%,100.00%,91.10%,21,5
近商圈近医院,"
                 1
            ",100%,20 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '全天热水', '厨房', '毛巾', '电梯', '智能门锁', '允许抽烟', '允许携带宠物', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '被子', '有窗户', '牙具']",,,0,,178,,100.00%,100.00%,91.10%,21,5
高铁站 西客站 十四中学 脑科医院 儿童医院 近医院近大学私人影院/投影设备落地窗,"
                 1
            ",100%,20 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,55平米,提供,沧州-运河区-解放西路南-颐和文园东区,沧州,运河区,"['无线WIFI', '电视', '淋浴', '洗衣机', '电冰箱', '全天热水', '毛巾', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '被子', '落地窗', '沙发', '洗浴用品', '牙具', '刀具菜板', '燃气灶', '电磁炉', '电饭煲', '投影设备', '灭火器']",,,0,,238,,100.00%,100.00%,91.10%,21,5
近医院近大学,"
                配备智能门锁，给您轻松又安全的入住体验，有电梯，免爬楼之苦，养足精力开启旅途，洗漱用品齐全，随时随地享受清爽，有电视，热播综艺热播剧紧追不断档，如有其他问题欢迎随时向我咨询，我会为你提供更多的旅行建议，并将尽量满足你入住期间的需求
            ",100%,20 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '全天热水', '毛巾', '电梯', '智能门锁', '允许抽烟', '允许携带宠物', '被子', '有窗户', '牙具']",,,0,,178,,100.00%,100.00%,91.10%,21,5
超大投影仪 落地窗 金街古玩市场 颐和商城 信誉楼 老盐百 老华北 火车站汽车站 胖胖熊,"
                小区安静安全，环境好，提供沙发，给您家一般的温馨，有电梯/低层无电梯，免爬楼之苦，养足精力开启旅途，不想吃餐厅点外卖的时候可以自己做饭，材料齐全，洗漱用品齐全，清爽卫生，旅行无忧
            ",100%,20 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '电冰箱', '全天热水', '毛巾', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待老人60岁以上', '接待外宾', '被子', '有窗户', '沙发', '洗浴用品', '牙具', '燃气灶', '灭火器']",房子图片实景拍摄，真实有效 干净整洁。落地阳台，24小时热水 Wi-Fi覆盖 洗漱用品齐全 床品一客一换，位于运河区 老华北南 ，临近 沧州商城 颐和商城 天一卖场 楼下是小吃一条街，个个商场距离 都不超过300米，是走亲访友 出差旅游的 优选地段,,0,,178,,100.00%,100.00%,91.10%,21,5
超大投影仪 沧州脑科医院 颐和文园 新华北 老同天 菜市场 颐和神话 亚马逊 民族会馆 近商圈近医院,"
                 1
            ",100%,20 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,55平米,提供,沧州-运河区-解放西路南-颐和文园东区(东门),沧州,运河区,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '被子', '有窗户', '沙发', '洗浴用品', '牙具', '刀具菜板', '燃气灶', '灭火器']",,,0,,178,,100.00%,100.00%,91.10%,21,5
超大投影仪 沧州火车站 汽车站 家庭式住宅 落地窗 清风楼 沧州商城 颐和商城 吉利鞋业 南湖公园,"
                房源中可享受到超美的风景，期待您的入住，大落地窗，给您轻松解压的度假体验，小区24h安全保障，无需担忧轻松入住，尽情享受沙发带给您的惬意旅途，提供停车位，便利出行零负担
            ",100%,20 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['无线WIFI', '电视', '淋浴', '洗衣机', '电冰箱', '全天热水', '毛巾', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许抽烟', '允许携带宠物', '接待儿童2到12岁', '接待老人60岁以上', '接待外宾', '被子', '落地窗', '沙发', '洗浴用品', '牙具', '刀具菜板', '洗涤用品', '燃气灶', '电磁炉', '电饭煲', '微波炉', '灭火器']",距离人民医院，中心医院一公里多一点左右落地窗 1.8大床 ，Wi-Fi覆盖 上网更快，液晶网络电视 海量高清在线播放，洗衣机 让洗衣变得 简单方便、可做饭，抽油烟机，让做饭变得更加有乐趣，记得用后的餐具刷好归位呦,,0,,207,,100.00%,100.00%,91.10%,21,5
市医院 中心医院 五中 八中 老一中 华北商厦 胖胖熊 清风楼大运河,"
                位于城市的老城区，周边设施 不超300百米有大型超市三个，胖胖熊儿童乐园 沧州商城 颐和商场，信誉楼 ， 古玩市场 .南湖公园 .喜庆（ 清风楼 .每周六日有免费的）沧州大运河。。。。。。。距离火车 站，汽车站1.7公里距离人民医院，中心医院一公里多一点左右 
            ",100%,24 晚,小区住宅,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街3-2号,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '投影设备']",,,0,,178,,100.00%,100.00%,91.10%,21,5
悦客民宿～投影仪 沧州大叔对面 颐和文园 新华北 老同天 市政府 颐和神话 民族会馆 脑科医院 颐和,"
                可以做饭，可以洗衣服，有暖气，24小时热水，洗漱用品齐全，安静舒适的超高层，独享整套房子，视野开阔 ，新华北三期正对面，位置好，楼层高
            ",100%,16 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,55平米,提供,沧州-运河区-幸福街-颐和文园,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '对讲门禁', '餐具炊具', '电吹风', '允许抽烟', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '刀具菜板', '调料', '洗涤用品', '燃气灶']",,,0,,208,,100.00%,100.00%,91.10%,21,5
悦客民宿~投影仪 高铁站 沧州大叔对面 颐和国际 亚马逊 老同天 新华北 颐和大厦 独享整套房源,"
                房源距离沧州脑科医院 中心医院儿童院区 十三中学 第五中学都很近 新华北商厦对面 吃喝玩乐尽在眼前。
            ",100%,16 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,55平米,提供,沧州-运河区-幸福街-颐和文园东区,沧州,运河区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电磁炉', '投影设备']",,,0,,228,,100.00%,100.00%,91.10%,21,5
悦客民宿～ 落地窗 南湖 老华北商厦 金街古玩市场 火车 汽车站 上海广场 沧州商城 吉利鞋业 信誉,"
                位于城市的老城区，周边设施 不超300百米有大型超市三个，胖胖熊儿童乐园 沧州商城 颐和商场，信誉楼 ， 古玩市场 .南湖公园 .喜庆（ 清风楼 .每周六日有免费的）沧州大运河。。。。。。。距离火车 站，汽车站1.7公里距离人民医院，中心医院一公里多一点左右 
            ",100%,26 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-新华中路123号,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电磁炉', '电饭煲', '微波炉', '灭火器']",,,0,,188,,100.00%,100.00%,91.10%,21,5
【悦客民宿】一室一厅/投影仪/沧州商城/潮衣库/八中/五中/火车站/老华北/简约北欧风,"
                一室一厅的房源坐落在小区里面，可以做饭，洗衣服，有空调 冰箱 洗衣机 小区环境
            ",100%,32 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-中爱商城(颐和商城西)-潮衣库服饰批发城,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '对讲门禁', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '洗浴用品', '牙具', '刀具菜板', '调料', '洗涤用品', '燃气灶', '投影设备']",,,0,,215,,100.00%,100.00%,91.10%,21,5
【悦客民宿】信誉楼/老华北商厦/建新大厦/医院 中学 车站/投影仪/高铁站/大运河/南湖公园/独享整,"
                照片 实景拍摄，真实有效 干净整洁。落地阳台，24小时热水 Wi-Fi覆盖 洗漱用品齐全 床品一客一换，位于运河区 新华北南 ，临近 沧州同天商场 楼下是北大院菜市场，个个商场距离 都不超过300米，是走亲访友 出差旅游的 优选地段
            ",100%,20 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '对讲门禁', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '洗浴用品', '牙具', '刀具菜板', '调料', '洗涤用品', '燃气灶', '投影设备']",,,0,,185,,100.00%,100.00%,91.10%,21,5
【悦客民宿】复古欧式一居室/高铁站/金街古玩/南湖公园 清风楼/独享整套房源/,"
                可以做饭，洗衣服，有空调 冰箱 洗衣机 24小时热水  无线覆盖 自主入住
            ",100%,20 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '洗浴用品', '牙具', '刀具菜板', '调料', '洗涤用品', '燃气灶']",,,0,,185,,100.00%,100.00%,91.10%,21,5
【悦客民宿】时尚风一居室/高铁站/金街古玩/南湖公园 清风楼/独享整套房源/,"
                可以做饭，洗衣服，有空调 冰箱 洗衣机 24小时热水  无线覆盖 自主入住
            ",100%,20 晚,小区住宅,1室0厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '洗浴用品', '牙具', '刀具菜板', '调料', '洗涤用品', '燃气灶']",,,0,,185,,100.00%,100.00%,91.10%,21,5
【悦客民宿】一室一厅/老华北商厦/老盐百/五中 八中/投影仪/高铁站/金街古玩/南湖公园 清风楼/独,"
                一室一厅的房源坐落在小区里面，可以做饭，洗衣服，有空调 冰箱 洗衣机 小区环境
            ",100%,20 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '对讲门禁', '餐具炊具', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '洗浴用品', '牙具', '刀具菜板', '调料', '洗涤用品', '燃气灶', '投影设备']",,,0,,185,,100.00%,100.00%,91.10%,21,5
【悦客民宿】北欧风一居室/高铁站/金街古玩/南湖公园 清风楼/独享整套房源/北欧风,"
                可以做饭，洗衣服，有空调 冰箱 洗衣机 24小时热水  无线覆盖 自主入住
            ",100%,20 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '洗浴用品', '牙具', '刀具菜板', '调料', '洗涤用品', '燃气灶']",,,0,,185,,100.00%,100.00%,91.10%,21,5
【悦客民宿】北欧风一居室NO.2/高铁站/金街古玩/南湖公园 清风楼/独享整套房源/,"
                可以做饭，洗衣服，有空调 冰箱 洗衣机 24小时热水  无线覆盖 自主入住
            ",100%,20 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '洗浴用品', '牙具', '刀具菜板', '调料', '洗涤用品', '燃气灶']",,,0,,185,,100.00%,100.00%,91.10%,21,5
悦客民宿～投影仪 落地窗 火车站  南湖 老华北 信誉楼 沧州商城 吉利鞋业 颐和商城 老盐百 市医,"
                位于城市的老城区，周边设施 不超300百米有大型超市三个，胖胖熊儿童乐园 沧州商城 颐和商场，信誉楼 ， 古玩市场 .南湖公园 .喜庆（ 清风楼 .每周六日有免费的）沧州大运河。距离火车 站，汽车站1.7公里距离人民医院，中心医院一公里多一点左右 照片 实景拍摄，真实有效 干净整洁。落地阳台，24小时热水 Wi-Fi覆盖 洗漱用品齐全 床品一客一换，位于运河区 老华北南 ，临近 沧州商城 颐和商城 天一卖场 楼下是小吃一条街，个个商场距离 都不超过300米，是走亲访友 出差旅游的 
            ",100%,18 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-市场街道-恒顺世纪中心,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电磁炉', '微波炉', '投影设备', '灭火器']",距离人民医院，中心医院一公里多一点左右落地窗 1.8大床 ，Wi-Fi覆盖 上网更快，液晶网络电视 海量高清在线播放，洗衣机 让洗衣变得 简单方便、可做饭，抽油烟机，让做饭变得更加有乐趣，记得用后的餐具刷好归位呦,,0,,188,,100.00%,100.00%,91.10%,21,5
悦客民宿～汽车站 火车站 中心医院 第五中学 第八中学,"
                可以做饭，可以洗衣服，视野开阔，免费停车很方便，看电影购物一站式。周边配套吃喝玩乐应有尽有。照片 实景拍摄，真实有效 干净整洁。24小时热水 Wi-Fi覆盖 洗漱用品齐全 床品一客一换，位于运河区 老华北商厦南面 ，临近颐和商场 潮衣库批发城， 吃喝玩一条龙  
            ",100%,20 晚,小区住宅,1室1厅,整租,双人床,1张,2人,1,63平米,提供,沧州-运河区-广场街附近-恒顺世纪中心,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待儿童2到12岁', '接待老人60岁以上', '有窗户', '落地窗', '茶几', '洗浴用品', '牙具', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电磁炉', '电饭煲', '微波炉', '灭火器']",,,0,,208,,100.00%,100.00%,91.10%,21,5
悦客民宿～投影仪 沧州商城 潮衣库 八中 五中 火车站 老华北,"
                商圈 医院 中学 公园 古建筑 大运河 沧州商城 潮衣库 新华书店 老华北商厦
            ",100%,32 晚,小区住宅,1室0厅,整租,双人床,1张,2人,1,55平米,提供,沧州-运河区-中爱商城(颐和商城西)-潮衣库服饰批发城,沧州,运河区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '有窗户', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电磁炉', '电饭煲', '投影设备', '灭火器']",,,0,,185,,100.00%,100.00%,91.10%,21,5
夏日民宿【能做饭的双床】N22,"
                房间宽敞明亮，简约舒适。室内家居齐全。床品舒适。配备了24小时保安系统。出入方便。
            ",100%,38 晚,其它,2室1厅,整租,双人床,2张,4人,1,80平米,提供,沧州-运河区-御河路与永安大道交叉口东南角-泰合商业广场,沧州,运河区,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '热水壶', '电梯', '保安', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待老人60岁以上', '被子', '泳池', '落地窗', '沙发', '洗浴用品', '牙具', '洗涤用品', '燃气灶', '电磁炉', '电饭煲', '灭火器']",,,0,,195,,100.00%,90.00%,94.30%,38,4.966
夏日民宿【能做饭的双床房】N23,"
                房间宽敞明亮，简约舒适。室内家居齐全。床品舒适。配备了24小时保安系统。出入方便。
            ",100%,38 晚,其它,2室1厅,整租,双人床,2张,4人,1,80平米,提供,沧州-运河区-御河路与永安大道交叉口东南角-泰合商业广场,沧州,运河区,"['无线WIFI', '电视', '淋浴', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '热水壶', '电梯', '保安', '电吹风', '允许抽烟', '接待儿童2到12岁', '接待老人60岁以上', '被子', '泳池', '落地窗', '沙发', '洗浴用品', '牙具', '洗涤用品', '燃气灶', '电磁炉', '电饭煲', '灭火器']",,,0,,195,,100.00%,90.00%,94.30%,38,4.966
夏日民宿【特惠大床】,"
                房间宽敞明亮，简约舒适。室内家居齐全。床品舒适。配备了24小时保安系统。出入方便。
            ",100%,20 晚,其它,1室1厅,整租,双人床,1张,2人,1,80平米,提供,沧州-运河区-永安南大道-泰合星耀城,沧州,运河区,"['无线WIFI', '电视', '淋浴', '洗衣机', '电冰箱', '全天热水', '毛巾', '热水壶', '电梯', '保安', '电吹风', '接待儿童2到12岁', '接待老人60岁以上', '被子', '落地窗', '洗浴用品', '牙具', '灭火器']",,,0,,172,,100.00%,90.00%,94.30%,38,4.966
夏日民宿【普通双床】N16,"
                房间整体精装修，干净整洁，优质的床品！周边配套齐全，欢迎回家！
            ",100%,38 晚,其它,2室1厅,整租,双人床,2张,4人,1,85平米,提供,沧州-运河区-御河路与永安大道交叉口东南角-泰合商业广场,沧州,运河区,"['无线WIFI', '电视', '淋浴', '暖气', '全天热水', '毛巾', '热水壶', '电梯', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '被子', '有窗户', '洗浴用品', '牙具']",,,0,,174,,100.00%,90.00%,94.30%,38,4.966
